,user_name,roll_belt,pitch_belt,yaw_belt,total_accel_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,total_accel_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
1,carlitos,1.41,8.07,-94.4,3,0,0,-0.02,-21,4,22,-3,599,-313,-128,22.5,-161,34,0,0,-0.02,-288,109,-123,-368,337,516,13.05217456,-70.49400371,-84.87393888,37,0,-0.02,0,-234,47,-271,-559,293,-65,28.4,-63.9,-153,36,0.03,0,-0.02,192,203,-215,-17,654,476,A
2,carlitos,1.41,8.07,-94.4,3,0.02,0,-0.02,-22,4,22,-7,608,-311,-128,22.5,-161,34,0.02,-0.02,-0.02,-290,110,-125,-369,337,513,13.13073959,-70.63750507,-84.71064711,37,0,-0.02,0,-233,47,-269,-555,296,-64,28.3,-63.9,-153,36,0.02,0,-0.02,192,203,-216,-18,661,473,A
3,carlitos,1.42,8.07,-94.4,3,0,0,-0.02,-20,5,23,-2,600,-305,-128,22.5,-161,34,0.02,-0.02,-0.02,-289,110,-126,-368,344,513,12.85074981,-70.27811982,-85.14078134,37,0,-0.02,0,-232,46,-270,-561,298,-63,28.3,-63.9,-152,36,0.03,-0.02,0,196,204,-213,-18,658,469,A
4,carlitos,1.48,8.05,-94.4,3,0.02,0,-0.03,-22,3,21,-6,604,-310,-128,22.1,-161,34,0.02,-0.03,0.02,-289,111,-123,-372,344,512,13.43119971,-70.39379464,-84.87362553,37,0,-0.02,-0.02,-232,48,-269,-552,303,-60,28.1,-63.9,-152,36,0.02,-0.02,0,189,206,-214,-16,658,469,A
5,carlitos,1.48,8.07,-94.4,3,0.02,0.02,-0.02,-21,2,24,-6,600,-302,-128,22.1,-161,34,0,-0.03,0,-289,111,-123,-374,337,506,13.37871611,-70.42855971,-84.85305745,37,0,-0.02,0,-233,48,-270,-554,292,-68,28,-63.9,-152,36,0.02,0,-0.02,189,206,-214,-17,655,473,A
6,carlitos,1.45,8.06,-94.4,3,0.02,0,-0.02,-21,4,21,0,603,-312,-128,22,-161,34,0.02,-0.03,0,-289,111,-122,-369,342,513,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,0,-234,48,-269,-558,294,-66,27.9,-63.9,-152,36,0.02,-0.02,-0.03,193,203,-215,-9,660,478,A
7,carlitos,1.42,8.09,-94.4,3,0.02,0,-0.02,-22,3,21,-4,599,-311,-128,21.9,-161,34,0,-0.03,0,-289,111,-125,-373,336,509,13.12694911,-70.24756905,-85.09961258,37,0,-0.02,0,-232,47,-270,-551,295,-70,27.9,-63.9,-152,36,0.02,0,-0.02,195,205,-215,-18,659,470,A
8,carlitos,1.42,8.13,-94.4,3,0.02,0,-0.02,-22,4,21,-2,603,-313,-128,21.8,-161,34,0.02,-0.02,0,-289,111,-124,-372,338,510,12.75083041,-70.34768359,-85.09708174,37,0,-0.02,0,-234,46,-272,-555,300,-74,27.8,-63.8,-152,36,0.02,-0.02,0,193,205,-213,-9,660,474,A
9,carlitos,1.43,8.16,-94.4,3,0.02,0,-0.02,-20,2,24,1,602,-312,-128,21.7,-161,34,0.02,-0.03,-0.02,-288,109,-122,-369,341,518,13.15463353,-70.42520377,-84.91563379,37,0,-0.02,0,-232,47,-269,-549,292,-65,27.7,-63.8,-152,36,0.03,0,-0.02,193,204,-214,-16,653,476,A
10,carlitos,1.45,8.17,-94.4,3,0.03,0,0,-21,4,22,-3,609,-308,-128,21.6,-161,34,0.02,-0.03,-0.02,-288,110,-124,-376,334,516,13.33033728,-70.85058796,-84.44601983,37,0,-0.02,0,-235,48,-270,-558,291,-69,27.7,-63.8,-152,36,0.02,0,-0.02,190,205,-215,-22,656,473,A
11,carlitos,1.45,8.18,-94.4,3,0.03,0,-0.02,-21,2,23,-5,596,-317,-128,21.5,-161,34,0.02,-0.03,0,-290,110,-123,-366,339,509,13.13073959,-70.63750507,-84.71064711,37,0,-0.02,0,-233,47,-269,-564,299,-64,27.6,-63.8,-152,36,0.02,-0.02,-0.02,193,205,-214,-17,657,465,A
12,carlitos,1.43,8.18,-94.4,3,0.02,0,-0.02,-22,2,23,-2,602,-319,-128,21.5,-161,34,0.02,-0.03,0,-288,111,-123,-363,343,520,13.10320545,-70.45974712,-84.89472246,37,0,-0.02,0,-233,47,-270,-554,291,-65,27.5,-63.8,-152,36,0.02,0.02,-0.03,191,203,-215,-11,657,478,A
13,carlitos,1.42,8.2,-94.4,3,0.02,0,0,-22,4,21,-3,606,-309,-128,21.4,-161,34,0.02,-0.02,-0.02,-287,111,-124,-372,338,509,13.38245941,-70.81758832,-84.46500278,37,0,-0.02,-0.02,-234,48,-269,-552,302,-69,27.2,-63.9,-151,36,0,0,-0.03,193,205,-215,-15,655,472,A
14,carlitos,1.42,8.21,-94.4,3,0.02,0,-0.02,-22,4,21,-8,598,-310,-128,21.4,-161,34,0.02,0,-0.03,-288,111,-124,-371,331,523,13.41047767,-70.99594236,-84.28004856,37,0.02,-0.02,-0.02,-234,48,-268,-554,295,-68,27.2,-63.9,-151,36,0,-0.02,-0.03,193,202,-214,-14,659,478,A
15,carlitos,1.45,8.2,-94.4,3,0,0,0,-21,2,22,-1,597,-310,-129,21.4,-161,34,0.02,0,-0.03,-289,111,-124,-374,342,510,13.07948887,-70.67116245,-84.69053461,37,0,-0.02,0,-234,47,-270,-554,294,-63,27.2,-63.9,-151,36,0,-0.02,-0.02,192,201,-214,-16,656,472,A
16,carlitos,1.48,8.15,-94.4,3,0,0,0,-21,4,23,0,592,-305,-129,21.3,-161,34,0.02,0,-0.03,-289,109,-121,-367,340,509,13.35068947,-70.25176373,-85.03638595,37,0,-0.02,0,-233,48,-271,-554,297,-73,27.1,-64,-151,36,0.02,0,0,194,204,-215,-13,656,471,A
17,carlitos,1.51,8.12,-94.4,3,0,0,-0.02,-21,4,22,-6,598,-317,-129,21.3,-161,34,0.02,0,-0.02,-289,110,-122,-371,337,512,13.04835112,-70.10639112,-85.26057697,37,0,-0.02,0,-233,47,-272,-551,296,-56,27.1,-64,-151,36,0.02,-0.02,0,192,204,-213,-13,653,481,A
18,carlitos,1.55,8.08,-94.4,3,0,0.02,0,-21,5,21,1,600,-316,-129,21.2,-161,34,0.02,-0.02,-0.03,-288,108,-124,-373,336,510,13.2064634,-70.3903701,-84.93667392,36,0.02,-0.02,-0.02,-231,47,-268,-557,292,-62,27,-64,-151,36,0.02,0,-0.02,192,206,-216,-16,653,472,A
19,carlitos,1.57,8.06,-94.4,3,0,0,-0.02,-20,5,21,-3,603,-313,-129,21.2,-161,34,0.02,-0.02,-0.02,-289,109,-122,-369,340,509,13.07574259,-70.28271016,-85.07803122,37,0,-0.02,-0.02,-233,47,-271,-559,295,-74,26.9,-64,-151,36,0.02,0,-0.02,192,203,-216,-10,657,466,A
